"rep","flow","fao_group","max_scheda"
"76","1","3",1356
"76","1","4",1194
"76","1","5",1288
"76","1","6",1118
"76","1","7",1113
"76","1","8",1111
"76","1","9",1119
"76","1","A",1116
"84","2","1",1174
"84","2","2",1119
"84","2","3",1199
"84","2","4",1161
"84","2","5",1121
"84","2","6",111
"84","2","8",111
"84","2","9",111
"84","2","A",1110
"84","1","1",1188
"84","1","2",1148
"84","1","3",1208
"84","1","4",1172
"84","1","5",1132
"84","1","6",1113
"84","1","7",1111
"84","1","8",1111
"84","1","9",1114
"84","1","A",1111
"84","3","1",1111
"84","3","3",1113
"84","3","4",1122
"84","3","5",1114
"84","3","6",1111
"90","2","1",1166
"90","2","2",1123
"90","2","3",1148
"90","2","4",1131
"90","2","5",111
"90","2","8",1146
"90","2","9",1115
"90","1","1",1158
"90","1","2",1124
"90","1","3",1188
"90","1","4",1174
"90","1","5",1131
"90","1","6",1112
"90","1","7",1111
"90","1","8",1112
"90","1","9",1117
"90","1","A",1111
"90","3","1",1111
"90","3","4",111
"96","2","1",1231
"96","2","2",1129
"96","2","3",1241
"96","2","4",1138
"96","2","5",1129
"96","2","6",1111
"96","2","7",1113
"96","2","8",111
"96","2","9",1115
"96","2","A",1110
"96","1","1",1549
"96","1","2",1227
"96","1","3",1459
"96","1","4",1314
"96","1","5",1225
"96","1","6",1124
"96","1","7",1134
"96","1","8",1119
"96","1","9",1137
"96","1","A",1128
"96","3","1",1133
"96","3","2",1161
"96","3","3",1177
"96","3","4",1182
"96","3","5",1115
"96","3","6",111
"96","3","7",112
"96","3","8",111
"96","3","9",1111
"100","2","1",1466
"100","2","2",1146
"100","2","3",1216
"100","2","4",1162
"100","2","5",1136
"100","2","6",1112
"100","2","7",1111
"100","2","8",1116
"100","2","9",1116
"100","2","A",1112
"100","1","1",1637
"100","1","2",1152
"100","1","3",1285
"100","1","4",1162
"100","1","5",1137
"100","1","6",1117
"100","1","7",1111
"100","1","8",1118
"100","1","9",1119
"100","1","A",1113
"104","2","1",1174
"104","2","2",1161
"104","2","3",1175
"104","2","4",1113
"104","2","5",1116
"104","2","6",111
"104","2","7",1111
"104","2","8",1115
"104","2","9",1111
"104","1","1",1459
"104","1","2",1166
"104","1","3",1319
"104","1","4",1229
"104","1","5",1216
